,expl_name,dimm_id,duration,pattern,mapping,tot_templates,tot_flips,tot_expl_flips,tot_expl_flip_str,first_ttf,mean_ttf,latex_export
0,FlipPFN(16GB),470,5400,dc04f054ee5c4d9bb5a44038135d351d,f70bfd2afb744e8785caa873de45c259,20330,21281,1442,1442/21281 (0.068),1,4.980591497227357," 1442 &          4\,s "
1,OpcodeFlip,470,5400,dc04f054ee5c4d9bb5a44038135d351d,f70bfd2afb744e8785caa873de45c259,0,0,0,N/A,N/A,N/A,   -- &         -- 
2,GPGFlip,470,5400,dc04f054ee5c4d9bb5a44038135d351d,f70bfd2afb744e8785caa873de45c259,20330,21281,54,54/21281 (0.003),124,98.35185185185185,"   54 &         98\,s "
3,FlipPFN(16GB),485,5400,fc104f5f5a4d4c229b5235e81e95e1f1,505485b25f1844679cc7f0b5810613e4,25534,26750,1555,1555/26750 (0.058),0,4.9323583180987205," 1555 &          4\,s "
4,OpcodeFlip,485,5400,fc104f5f5a4d4c229b5235e81e95e1f1,505485b25f1844679cc7f0b5810613e4,25534,26750,3,3/26750 (0.000),1438,1276.6666666666667,"    3 &      1,276\,s "
5,GPGFlip,485,5400,fc104f5f5a4d4c229b5235e81e95e1f1,505485b25f1844679cc7f0b5810613e4,25534,26750,61,61/26750 (0.002),106,87.46666666666667,"   61 &         87\,s "
6,FlipPFN(16GB),518,5400,dcc9a6df480f41198df08c07b9a48cde,38e01b61c70e4392b14cbe6a174bb3c6,7176,7499,427,427/7499 (0.057),11,13.550251256281408,"  427 &         13\,s "
7,OpcodeFlip,518,5400,dcc9a6df480f41198df08c07b9a48cde,38e01b61c70e4392b14cbe6a174bb3c6,7176,7499,1,1/7499 (0.000),2977,2977.0,"    1 &      2,977\,s*"
8,GPGFlip,518,5400,dcc9a6df480f41198df08c07b9a48cde,38e01b61c70e4392b14cbe6a174bb3c6,7176,7499,12,12/7499 (0.002),305,426.4166666666667,"   12 &        426\,s "
9,FlipPFN(16GB),522,5400,30570cb2dea74340bcef7c7229117126,cf67e0acf2a24d2bb570221eacd729bc,8444,8789,593,593/8789 (0.067),6,9.886238532110092,"  593 &          9\,s "
10,OpcodeFlip,522,5400,30570cb2dea74340bcef7c7229117126,cf67e0acf2a24d2bb570221eacd729bc,8444,8789,1,1/8789 (0.000),4845,4845.0,"    1 &      4,845\,s*"
11,GPGFlip,522,5400,30570cb2dea74340bcef7c7229117126,cf67e0acf2a24d2bb570221eacd729bc,8444,8789,17,17/8789 (0.002),31,296.5882352941176,"   17 &        296\,s "
12,FlipPFN(16GB),529,5400,8acb7a05225b4c369ce063374accc70b,28063246ff194cf1ba628cf5099618d2,382,396,21,21/396 (0.053),169,245.66666666666666,"   21 &        245\,s "
13,OpcodeFlip,529,5400,8acb7a05225b4c369ce063374accc70b,28063246ff194cf1ba628cf5099618d2,0,0,0,N/A,N/A,N/A,   -- &         -- 
14,GPGFlip,529,5400,8acb7a05225b4c369ce063374accc70b,28063246ff194cf1ba628cf5099618d2,0,0,0,N/A,N/A,N/A,   -- &         -- 
15,FlipPFN(16GB),525,5400,97624110a3864fb8ba18f5f5e91d9c16,4bc8121415e141edb768b8cfab0042d2,6434,6711,392,392/6711 (0.058),19,14.55256064690027,"  392 &         14\,s "
16,OpcodeFlip,525,5400,97624110a3864fb8ba18f5f5e91d9c16,4bc8121415e141edb768b8cfab0042d2,0,0,0,N/A,N/A,N/A,   -- &         -- 
17,GPGFlip,525,5400,97624110a3864fb8ba18f5f5e91d9c16,4bc8121415e141edb768b8cfab0042d2,6434,6711,13,13/6711 (0.002),335,398.0769230769231,"   13 &        398\,s "
18,FlipPFN(16GB),499,5400,8f29fbb2a9dc4c52af97456cfeead90c,06b4422f89a84f9da91fe6ae642ead2b,7062,7363,527,527/7363 (0.072),0,10.631163708086785,"  527 &         10\,s "
19,OpcodeFlip,499,5400,8f29fbb2a9dc4c52af97456cfeead90c,06b4422f89a84f9da91fe6ae642ead2b,0,0,0,N/A,N/A,N/A,   -- &         -- 
20,GPGFlip,499,5400,8f29fbb2a9dc4c52af97456cfeead90c,06b4422f89a84f9da91fe6ae642ead2b,7062,7363,13,13/7363 (0.002),745,395.9230769230769,"   13 &        395\,s "
21,FlipPFN(16GB),533,5400,636edcefc07f430e844a4b8815f26a1f,a5921b8ccb8344a8a043aee7d26f3c56,764,800,39,39/800 (0.049),572,136.64102564102564,"   39 &        136\,s "
22,OpcodeFlip,533,5400,636edcefc07f430e844a4b8815f26a1f,a5921b8ccb8344a8a043aee7d26f3c56,0,0,0,N/A,N/A,N/A,   -- &         -- 
23,GPGFlip,533,5400,636edcefc07f430e844a4b8815f26a1f,a5921b8ccb8344a8a043aee7d26f3c56,764,800,1,1/800 (0.001),565,565.0,"    1 &        565\,s*"
24,FlipPFN(16GB),532,5400,a559f2bbef9249e886ec9ba23505a181,7dc7d701b0604083abcbe4f9925da407,9357,9743,587,587/9743 (0.060),25,10.503891050583658,"  587 &         10\,s "
25,OpcodeFlip,532,5400,a559f2bbef9249e886ec9ba23505a181,7dc7d701b0604083abcbe4f9925da407,0,0,0,N/A,N/A,N/A,   -- &         -- 
26,GPGFlip,532,5400,a559f2bbef9249e886ec9ba23505a181,7dc7d701b0604083abcbe4f9925da407,9357,9743,21,21/9743 (0.002),13,256.9047619047619,"   21 &        256\,s "
27,FlipPFN(16GB),527,5400,f6725d883c404517944efa641bf892fb,43cd1ac741a84fa6b10f31bc4ab4b358,1370,1426,139,139/1426 (0.097),23,39.35766423357664,"  139 &         39\,s "
28,OpcodeFlip,527,5400,f6725d883c404517944efa641bf892fb,43cd1ac741a84fa6b10f31bc4ab4b358,0,0,0,N/A,N/A,N/A,   -- &         -- 
29,GPGFlip,527,5400,f6725d883c404517944efa641bf892fb,43cd1ac741a84fa6b10f31bc4ab4b358,0,0,0,N/A,N/A,N/A,   -- &         -- 
30,FlipPFN(16GB),526,5400,ea41fb045e214d68bf141ba45db6fbc3,5d548953b7b34335996905d4feaeef2d,15643,16264,934,934/16264 (0.057),12,7.073394495412844,"  934 &          7\,s "
31,OpcodeFlip,526,5400,ea41fb045e214d68bf141ba45db6fbc3,5d548953b7b34335996905d4feaeef2d,15643,16264,1,1/16264 (0.000),1219,1219.0,"    1 &      1,219\,s*"
32,GPGFlip,526,5400,ea41fb045e214d68bf141ba45db6fbc3,5d548953b7b34335996905d4feaeef2d,15643,16264,36,36/16264 (0.002),102,149.05555555555554,"   36 &        149\,s "
33,FlipPFN(16GB),530,5400,3ba6fdf133364947a3e444a020a2c706,c2e1661b54e941faa72a6b63c652592d,498,525,31,31/525 (0.059),336,174.93333333333334,"   31 &        174\,s "
34,OpcodeFlip,530,5400,3ba6fdf133364947a3e444a020a2c706,c2e1661b54e941faa72a6b63c652592d,0,0,0,N/A,N/A,N/A,   -- &         -- 
35,GPGFlip,530,5400,3ba6fdf133364947a3e444a020a2c706,c2e1661b54e941faa72a6b63c652592d,0,0,0,N/A,N/A,N/A,   -- &         -- 
36,FlipPFN(16GB),496,5400,9a31e85e10d147639956bffe1ca1195b,c96463f0103f49c3b73c1de274596798,725,765,13,13/765 (0.017),1042,446.8333333333333,"   13 &        446\,s "
37,OpcodeFlip,496,5400,9a31e85e10d147639956bffe1ca1195b,c96463f0103f49c3b73c1de274596798,0,0,0,N/A,N/A,N/A,   -- &         -- 
38,GPGFlip,496,5400,9a31e85e10d147639956bffe1ca1195b,c96463f0103f49c3b73c1de274596798,725,765,1,1/765 (0.001),1437,1437.0,"    1 &      1,437\,s*"
39,FlipPFN(16GB),464,5400,07032d04840740f283b992f499a3f26f,1589a06c54624424a45f3a202de1860b,29382,30969,1387,1387/30969 (0.045),2,5.51844262295082," 1387 &          5\,s "
40,OpcodeFlip,464,5400,07032d04840740f283b992f499a3f26f,1589a06c54624424a45f3a202de1860b,29382,30969,3,3/30969 (0.000),741,761.0,"    3 &        761\,s "
41,GPGFlip,464,5400,07032d04840740f283b992f499a3f26f,1589a06c54624424a45f3a202de1860b,29382,30969,68,68/30969 (0.002),51,78.98507462686567,"   68 &         78\,s "
42,FlipPFN(16GB),468,5400,fe80551434da492e925c2a41a7c5e4f9,575d7b3b3f37493f8fdeaa84d2d5371f,40,43,3,3/43 (0.070),675,1215.0,"    3 &      1,215\,s "
43,OpcodeFlip,468,5400,fe80551434da492e925c2a41a7c5e4f9,575d7b3b3f37493f8fdeaa84d2d5371f,0,0,0,N/A,N/A,N/A,   -- &         -- 
44,GPGFlip,468,5400,fe80551434da492e925c2a41a7c5e4f9,575d7b3b3f37493f8fdeaa84d2d5371f,0,0,0,N/A,N/A,N/A,   -- &         -- 
